Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
XGBoost - Baseline,0.8005684415558603,0.7159421945507511,0.9965018285896009,0.8332391557254446,0.8029074186252171
XGBoost - Tuned,0.8014827181841672,0.7158224245873648,0.9999204961043091,0.8343505373490779,0.8018700764004091
