Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Random Forest - Baseline,0.7123804980820067,0.7137256470776493,0.709214501510574,0.71146292345423,0.7996588105027664
Random Forest - Tuned,0.7216623934172083,0.715339460878968,0.7363253299411672,0.7256807051909893,0.800468958107341
