Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Logistic Regression - Baseline,0.8017212251306819,0.7160423545485597,1.0,0.8345276008492569,0.8003408533983623
Logistic Regression - Tuned,0.8017212251306819,0.7160423545485597,1.0,0.8345276008492569,0.8002490732820244
