Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
KNN - Baseline,0.7324945839047562,0.7106884253755539,0.7842264270949276,0.7456486818482472,0.7938035604838568
KNN - Tuned,0.7490708166875361,0.7136572890025575,0.831928764509461,0.7682678364934564,0.7981189325186344
